variable,n,chi2,ddl,p_value
s4_1,1703,3067.7482686223825,150,0.0
classeageaine,1703,5109.0,75,0.0
s4_2,1703,1531.119025912959,150,2.888702154383577e-227
classeage,1703,1342.299190131711,100,1.933510255518413e-216
age,1703,3096.2146696866416,1150,5.049753846711711e-178
agemen,1703,2846.5676945671244,1150,9.54780969279848e-145
agecon,1703,2617.8294044240365,1150,6.221467662887505e-116
s4_3,1703,564.8674112773421,150,2.0897354825651027e-49
q4a_3,1703,473.83393671346613,125,4.729091415275865e-42
q4c_3,1703,349.4329343734854,75,5.182967326298765e-37
classenbenfant,1703,339.41396512531026,75,2.706209206732862e-35
q4b_3,1703,378.19063899165747,100,6.0171926764951544e-34
q4c_6,1703,325.65492735655846,75,5.87596167092059e-33
q4b_6,1703,352.4748879877076,100,7.515450913010385e-30
q4a_1,1703,365.1380183959167,125,2.316566955538373e-25
q4a_6,1703,360.6099047575898,125,1.041192251746709e-24
s2,1703,438.7761222947041,175,1.253480256274175e-24
q4c_5,1703,258.7758606641438,75,4.793389690696896e-22
q4b_4,1703,297.512233927426,100,1.716578604067525e-21
q4b_5,1703,292.5811849307088,100,8.9798741591298e-21
q4c_4,1703,247.05650680089423,75,3.153150629333441e-20
q20enfants_4,1703,240.9819921370888,75,2.677021135360499e-19
q4c_1,1703,233.3954351152285,75,3.749374742668335e-18
q4a_4,1703,312.2520509335619,125,5.102981505788834e-18
q4b_1,1703,271.4307267022553,100,9.248915351157251e-18
q4a_5,1703,297.9259081530443,125,3.7809636598165603e-16
q18,1703,165.35967311663833,50,2.9074727359902305e-14
q20enfants_5,1703,185.91483243687367,75,2.138865121116931e-11
q18b,1703,289.6471247999362,150,6.181698089652164e-11
q4c_2,1703,179.64501885022966,75,1.4362074158028806e-10
q4b_2,1703,210.51824926941023,100,7.226912267172411e-10
q4a_2,1703,222.21597618523987,125,1.9916528499275474e-07
s8_2,1703,151.78223199448078,75,3.892515442401307e-07
s5b,1703,150.98777219853216,75,4.802876806095125e-07
s5,1703,73.6578579745288,25,1.0862821922217611e-06
q23,1703,174.9147938859957,100,5.317047524208666e-06
q20enfants_6,1703,132.03646228165977,75,5.3337455431880964e-05
s6_2,1703,125.59435091914406,75,0.000227951656031397
q23b,1703,275.3385750723117,200,0.0003259502093615975
q15,1703,90.79051172685627,50,0.0003700952821622141
q20parents_5,1703,116.96781399472516,75,0.0013895571591223195
q16_3,1703,49.159250666120506,25,0.00270175610336936
S9_2,1703,280.32671599687495,225,0.007114585975291627
q20parents_6,1703,103.71255821996854,75,0.015733843354950268
cspmen,1703,216.35647865855776,175,0.01821449720128831
q17,1703,99.98658482999224,75,0.02854941379697844
s9_1,1703,212.16554514630218,175,0.02896638198969708
q21b,1703,99.78904565891202,75,0.029431910394718718
q21,1703,66.84745151847277,50,0.055827877574697524
q14,1703,123.43816522467222,100,0.05598482528097466
q3b1_5,1703,66.41463111303769,50,0.059971610197624974
q22,1703,119.35830373021072,100,0.09081389912205752
q8,1703,91.30768888605473,75,0.09693661066739112
q16_4,1703,34.17064384172282,25,0.1043104256434501
cspgroup,1703,90.11998152062264,75,0.11242016117118196
q16_6,1703,32.50511274869135,25,0.14391061326978524
q19,1703,114.9087769750133,100,0.14627238706140971
q20enfants_3,1703,87.52854711406496,75,0.15274820874598402
q7,1703,140.91188818147592,125,0.15665052335643173
q3b1_1,1703,59.95780942975982,50,0.15814250087864123
classville,1703,87.18209975490134,75,0.15885682166748155
q20parents_4,1703,86.14986656357668,75,0.1780969305183333
q2c_1,1703,58.796895802672864,50,0.18442542662789066
Département,1703,31.110515726377205,25,0.18538534649019903
q20parents_1,1703,84.4400618140725,75,0.21343962761640994
q9_4,1703,30.052559199595372,25,0.2223270280855395
q3b,1703,83.14925786003656,75,0.2429960744300367
q20enfants_1,1703,82.5503754379937,75,0.25753622287523453
q16_5,1703,28.964091557994063,25,0.26541987708118103
q10,1703,134.157847526865,125,0.27174214748167136
S6_1,1703,28.438312108533143,25,0.2880740690051165
q23b_autre,26,364.0,350,0.29206115389124526
q2b_1,1703,81.07987121412631,75,0.2953866214573572
q16_1,1703,28.081225842984555,25,0.30412755405375463
q3b1_4,1703,54.019037150174384,50,0.3235087890466663
q2a_1,1703,105.47552869047709,100,0.334587337684106
q2c_2,1703,53.29711495441206,50,0.34859999774655037
q20enfants_2,1703,79.16272778703092,75,0.3490028623946646
q3b1_7,1703,52.76773317533922,50,0.36758595470223665
q3b1_8,1703,52.72368498016981,50,0.3691869069125127
q16_2,1703,26.061823562185797,25,0.40430531330819336
q11b13,1703,51.536076255621964,50,0.41347166122976664
q3c,1703,51.379910024621296,50,0.41944249669607636
q3b1_2,1703,50.782986887746205,50,0.4425381738916056
Questionnaire,1703,42575.0,42550,0.4649513280501704
q11b4,1703,48.900940047352336,50,0.5174958765699093
q11b11,1703,47.94175835850147,50,0.5563644075082731
q3a,1703,97.21795504710707,100,0.5601311854279266
q2a_2,1703,96.84779885138659,100,0.5706356159802672
q20parents_3,1703,71.63334002158496,75,0.5887915249054001
q3b1_6,1703,46.81963082447783,50,0.6017785517003164
q12,1703,46.79330152969022,50,0.602838852357246
q13b_6,1703,46.72684822862288,50,0.6055133587392847
q3b1_3,1703,46.08296281845875,50,0.6312829694921431
q9_5,1703,22.07105113939794,25,0.631637867263564
q9_6,1703,22.065957620124525,25,0.6319324401548088
q13b_5,1703,45.438194351247276,50,0.6567441948577905
q9_2,1703,21.62421651712684,25,0.6573395100927495
q13b_3,1703,44.89702277973962,50,0.6777650815680512
q13b_1,1703,44.54021424461175,50,0.6914156765072621
q11b8,1703,44.484387684106,50,0.6935349277401092
q11b7,1703,44.33070731456728,50,0.6993445092803856
q20parents_2,1703,67.70292853316847,75,0.7127312333341638
q11b12,1703,20.533589328003647,25,0.718306104047248
s8_1,1703,43.18730475303041,50,0.7413178999923495
q9_1,1703,19.98988034845421,25,0.7473559484617677
q2b_2,1703,65.27448360976706,75,0.7811804510717418
s1,1703,16770.53632669845,16925,0.7991228639434386
villesstd,1703,16620.477339197,16775,0.800268309553686
q11b1,1703,41.2559775484181,50,0.8060825458238394
q13b_7,1703,41.10686289307805,50,0.8107112745821015
q11b3,1703,41.0321865026228,50,0.813007768529432
q13,1703,62.82541343523541,75,0.8409442306231061
q6,1703,85.4121671426233,100,0.8505202411732172
q11b6,1703,39.530788968454836,50,0.855994008480974
q13b_4,1703,39.24926267531002,50,0.8633542707640709
q11,1703,61.462113177555786,75,0.8696124268811811
q11b9,1703,38.843261968272195,50,0.8735679584966
q5,1703,79.1755793351676,100,0.9383709682966206
q11b10,1703,35.33299928166816,50,0.9420942896844712
q13b_2,1703,35.235256593061045,50,0.9435123192432512
q1,1703,98.06510056019118,125,0.9641500293393036
q9_3,1703,13.768411390062022,25,0.9656205682950552
q11b2,1703,33.35552767019273,50,0.9661791653415914
q11b5,1703,32.42336486203057,50,0.9744780840589273
